comuna,region,año,mes,poblacion,ingreso_promedio,temperatura_promedio,precipitacion_mm,consumo_m3
Valparaíso,Valparaíso,2020,1,43201,718361.7268980852,16.542935793955653,32.558368957403495,13.25
Valparaíso,Valparaíso,2020,7,41910,724723.6965799669,19.01424416401371,0.0,15.52
Valparaíso,Valparaíso,2020,3,41180,687144.2700262297,18.20796930764481,0.0,14.21
Valparaíso,Valparaíso,2020,4,42016,697559.1751119003,21.2023287964228,81.66728957429595,18.51
Valparaíso,Valparaíso,2020,5,39992,719681.9402403485,20.16550487752813,30.464579474299036,17.69
Valparaíso,Valparaíso,2020,6,41552,715955.2628921531,18.603255021005623,213.55920707881205,17.55
Valparaíso,Valparaíso,2020,7,39364,728370.2767298651,17.305614361251216,163.57668659463727,14.95
Valparaíso,Valparaíso,2020,8,40798,753575.8389728421,14.77434329678193,232.2526465308044,13.88
Valparaíso,Valparaíso,2020,9,41141,712647.068828414,14.577623048921096,59.60890297371221,15.47
Valparaíso,Valparaíso,2020,10,39175,747944.0868528901,13.073434519241118,27.324549917860484,15.98
Valparaíso,Valparaíso,2020,11,42460,698009.4532992439,13.979400105446771,0.0,13.23
Valparaíso,Valparaíso,2020,12,39944,672166.3480965903,14.545831413840409,49.946579895346375,17.1
Valparaíso,Valparaíso,2021,1,40481,687568.2737030776,16.159529064314068,22.531587986458412,15.44
Valparaíso,Valparaíso,2021,2,42127,712903.4381602438,19.63623737537893,0.6634770836967157,16.29
Valparaíso,Valparaíso,2021,3,41401,712400.0699834191,20.95530928054975,2.812896968471305,17.2
Valparaíso,Valparaíso,2021,4,40216,706915.8515976213,21.08348112551985,0.0,16.14
Valparaíso,Valparaíso,2021,5,43257,691616.1928109224,19.365038794566104,0.0,17.61
Valparaíso,Valparaíso,2021,6,42348,701891.7021964974,21.429144322012156,267.72509471938724,16.53
Valparaíso,Valparaíso,2021,7,40162,698385.2051607042,15.838067508343755,220.129496210738,13.39
Valparaíso,Valparaíso,2021,8,39260,736934.5923863031,14.88933463144267,199.46630701306364,14.28
Valparaíso,Valparaíso,2021,9,39739,736922.6169953999,12.603785638405975,0.0,14.92
Valparaíso,Valparaíso,2021,10,42891,732713.3005172429,11.06783283747395,19.777254405981036,10.96
Valparaíso,Valparaíso,2021,11,43268,700722.4152946065,14.864539213110476,47.933761315267766,15.33
Valparaíso,Valparaíso,2021,12,39284,713929.0351914184,13.955425780143283,0.0,14.52
Valparaíso,Valparaíso,2022,1,39164,692241.3484825805,16.90337632998511,12.651193892150316,15.99
Valparaíso,Valparaíso,2022,2,41741,737445.835238884,17.735855864972336,0.0,16.06
Valparaíso,Valparaíso,2022,3,39250,706497.6528411945,20.980618899535664,55.97800511471303,17.7
Valparaíso,Valparaíso,2022,4,43010,722032.4206728226,21.46782672523596,98.84730497496103,12.47
Valparaíso,Valparaíso,2022,5,38622,705642.8351842626,21.357055485246523,89.11364161290392,17.14
Valparaíso,Valparaíso,2022,6,38478,669983.2003124366,17.685854145544784,297.60865713502307,13.97
Valparaíso,Valparaíso,2022,7,39221,674134.8631406277,16.878920038590955,230.83572571484316,14.2
Valparaíso,Valparaíso,2022,8,42127,674152.7663281504,15.21746333232403,200.59157852654383,14.74
Valparaíso,Valparaíso,2022,9,39466,696568.5138682293,12.58358200412345,15.169448449288396,15.3
Valparaíso,Valparaíso,2022,10,39179,732976.8105354229,12.861948150027622,29.9885728499736,14.37
Valparaíso,Valparaíso,2022,11,39595,734920.5441849248,14.774594153926646,88.12245226272398,13.2
Valparaíso,Valparaíso,2022,12,43018,708730.7840828007,16.072886742992893,44.79881414837374,12.3
Valparaíso,Valparaíso,2023,1,42490,726712.8990968277,17.07892781907222,16.61767506326903,15.9
Valparaíso,Valparaíso,2023,2,39744,714408.697943504,19.689404936780267,65.1972965583829,18.22
Valparaíso,Valparaíso,2023,3,38614,756439.8275387357,20.68321221517216,21.036154789808567,18.9
Valparaíso,Valparaíso,2023,4,42466,725293.0444257796,21.7167987979895,0.0,16.88
Valparaíso,Valparaíso,2023,5,38529,725229.2107023373,18.871958087343423,58.35120242750265,17.2
Valparaíso,Valparaíso,2023,6,42149,695829.942894095,19.842038397324707,188.10235331825425,15.23
Valparaíso,Valparaíso,2023,7,41807,666634.9886145282,18.165032104839455,175.68114722089942,16.12
Valparaíso,Valparaíso,2023,8,40588,754263.7180001887,14.239810551037914,248.76590251180568,13.79
Valparaíso,Valparaíso,2023,9,40673,745139.967729915,12.61962428429852,96.35883919132428,14.56
Valparaíso,Valparaíso,2023,10,40320,704791.6121284878,13.12310608458761,77.60405306590845,15.88
Valparaíso,Valparaíso,2023,11,43038,707631.9976508387,11.974405162420387,104.2135776498988,13.77
Valparaíso,Valparaíso,2023,12,40440,747809.1346522047,16.418531345148036,0.0,15.81
Valparaíso,Valparaíso,2024,1,42438,744562.798177706,15.012659823139757,24.66361313412372,14.96
Valparaíso,Valparaíso,2024,2,39979,692961.8113667518,18.207701607795894,9.412941023775302,15.93
Valparaíso,Valparaíso,2024,3,41847,718832.1126525839,21.24491704295189,0.0,16.11
Valparaíso,Valparaíso,2024,4,40593,742016.275371827,20.540451058838244,0.0,16.74
Valparaíso,Valparaíso,2024,5,42325,670720.3006882778,20.744211876184337,0.0,16.24
Valparaíso,Valparaíso,2024,6,42397,720788.2864755976,20.12185785623047,312.436055311999,14.6
Valparaíso,Valparaíso,2024,7,41284,671975.9742090376,17.380198369153394,220.6751449810928,15.23
Valparaíso,Valparaíso,2024,8,42758,736793.2179833864,14.16229056810503,194.33743001171075,14.91
Valparaíso,Valparaíso,2024,9,41723,750874.8661286448,15.12573736304293,57.58563674663127,13.28
Valparaíso,Valparaíso,2024,10,42227,717057.5141422553,12.300681792172336,89.59628608717523,15.09
Valparaíso,Valparaíso,2024,11,40498,735039.9002293526,13.161718108872062,34.29221789251039,15.83
Valparaíso,Valparaíso,2024,12,40905,708775.3837598372,14.035294574249283,103.03285846814502,16.59
Viña del Mar,Valparaíso,2020,1,530367,886029.992878108,17.818127286248185,0.0,17.71
Viña del Mar,Valparaíso,2020,2,532450,897850.3649222679,18.91195553082396,36.794232908695264,15.98
Viña del Mar,Valparaíso,2020,3,534338,873551.6899198564,20.92226972992645,0.0,14.81
Viña del Mar,Valparaíso,2020,4,529864,941971.93193124,20.78667020069073,56.03825637527762,15.79
Viña del Mar,Valparaíso,2020,5,531493,941927.4742030372,19.49300343355344,0.0,16.25
Viña del Mar,Valparaíso,2020,6,534536,857466.5496755487,21.444582752582505,193.97495823174592,18.79
Viña del Mar,Valparaíso,2020,7,530264,897324.9502842164,16.161406847036137,211.3735144261967,15.91
Viña del Mar,Valparaíso,2020,8,533457,907699.3507658052,17.165056067806603,276.126775570324,17.36
Viña del Mar,Valparaíso,2020,9,531490,952104.2005978636,12.680331148438968,0.8415361117495408,15.92
Viña del Mar,Valparaíso,2020,10,532723,906311.1061802168,12.730159459328185,30.234944617302304,16.57
Viña del Mar,Valparaíso,2020,11,530922,932446.9436913253,12.779574960233672,48.5632827914666,15.78
Viña del Mar,Valparaíso,2020,12,530313,914670.736318005,17.271449745422792,12.009753836373172,17.09
Viña del Mar,Valparaíso,2021,1,531356,877806.946635454,17.59578780159936,0.0,14.16
Viña del Mar,Valparaíso,2021,2,530482,912352.379590556,18.857814501011777,79.71691549956246,16.0
Viña del Mar,Valparaíso,2021,3,533577,952173.8325551184,19.7891675963472,4.509457648357159,16.04
Viña del Mar,Valparaíso,2021,4,534296,911491.2553055749,20.822579561791503,0.0,17.46
Viña del Mar,Valparaíso,2021,5,531094,883254.4408498827,19.82370393607915,0.0,16.81
Viña del Mar,Valparaíso,2021,6,531211,914048.6327862532,19.44419832729067,265.7203233275585,18.34
Viña del Mar,Valparaíso,2021,7,533895,894940.0650113928,17.562344039234166,211.8009635276466,14.59
Viña del Mar,Valparaíso,2021,8,530100,937394.994869882,16.10292773274266,309.10403026570816,16.61
Viña del Mar,Valparaíso,2021,9,531791,938206.810781677,13.693007079365566,88.20953701549406,13.69
Viña del Mar,Valparaíso,2021,10,533210,890443.8604348999,12.61230008359144,25.61847312403997,13.52
Viña del Mar,Valparaíso,2021,11,533891,881661.8096748777,14.566138597732522,22.95660213504043,14.75
Viña del Mar,Valparaíso,2021,12,532887,905548.0801254512,14.272327645143774,37.561624825475945,14.64
Viña del Mar,Valparaíso,2022,1,531072,906767.169473348,17.156693728246523,69.47114458267421,14.49
Viña del Mar,Valparaíso,2022,2,532557,861444.8770635832,18.512006683792773,57.30265532335771,16.49
Viña del Mar,Valparaíso,2022,3,530963,926639.9206671324,20.622978736128907,3.440275517444535,15.62
Viña del Mar,Valparaíso,2022,4,534184,894830.4853254345,22.153590343316925,68.99320486056295,13.94
Viña del Mar,Valparaíso,2022,5,533124,903692.963695562,20.112529536537625,22.00589689208125,17.58
Viña del Mar,Valparaíso,2022,6,533662,870849.525206215,18.97459754925508,182.26414546177585,17.02
Viña del Mar,Valparaíso,2022,7,533407,879947.7109208198,15.595998703618902,339.0134755057496,13.77
Viña del Mar,Valparaíso,2022,8,531072,905194.053173145,14.537742719919148,272.6915029122508,15.48
Viña del Mar,Valparaíso,2022,9,532967,919301.198482482,15.842919301815858,25.3202387432362,17.91
Viña del Mar,Valparaíso,2022,10,532583,945186.0071004472,14.220821298813048,2.266584855087068,13.53
Viña del Mar,Valparaíso,2022,11,530812,910038.017525299,12.775717653633512,43.21312633892983,16.28
Viña del Mar,Valparaíso,2022,12,533700,906316.4609196323,12.78995721070982,85.79295273915253,15.21
Viña del Mar,Valparaíso,2023,1,534379,896273.8917518909,15.269966260564708,109.52113191474837,14.4
Viña del Mar,Valparaíso,2023,2,530111,920773.1063531274,20.07418539217897,0.0,19.19
Viña del Mar,Valparaíso,2023,3,531503,874719.5147329681,19.218581025636414,0.0,17.36
Viña del Mar,Valparaíso,2023,4,532008,932501.8609998426,19.60306590853204,34.73873702797129,16.14
Viña del Mar,Valparaíso,2023,5,532201,888757.2502444165,19.42163999820652,70.79196658672852,18.64
Viña del Mar,Valparaíso,2023,6,533450,874595.4937621612,19.68706579585892,279.60043698356736,16.4
Viña del Mar,Valparaíso,2023,7,531142,856199.7903868022,18.809514918518605,164.60196408862777,16.43
Viña del Mar,Valparaíso,2023,8,530719,894517.7276575404,15.83622293682153,225.5652071175475,15.45
Viña del Mar,Valparaíso,2023,9,533356,899556.7986871065,14.17644131993702,42.393804106436185,13.85
Viña del Mar,Valparaíso,2023,10,533869,921146.1642721844,12.110551250760452,30.529027391297294,13.48
Viña del Mar,Valparaíso,2023,11,534439,933712.222932552,14.472107394442196,43.97608991626298,16.28
Viña del Mar,Valparaíso,2023,12,534197,881701.2750089911,13.4655198685947,73.15392615058512,13.73
Viña del Mar,Valparaíso,2024,1,529665,882000.6092920969,16.16804508250555,5.964555691343584,14.56
Viña del Mar,Valparaíso,2024,2,532219,884257.5819756456,17.444029973682092,102.17776977324422,16.41
Viña del Mar,Valparaíso,2024,3,532268,917628.3391962458,21.38008697108355,45.834376777551,19.43
Viña del Mar,Valparaíso,2024,4,531032,929094.4833423503,22.23958400644156,0.0,18.36
Viña del Mar,Valparaíso,2024,5,532953,946669.7243597254,19.599379480618666,0.0,17.69
Viña del Mar,Valparaíso,2024,6,532881,914376.9934877492,20.90329268772716,247.4531592631421,17.21
Viña del Mar,Valparaíso,2024,7,532153,895469.1032709639,17.64949736485924,212.4947321658368,16.73
Viña del Mar,Valparaíso,2024,8,529819,921938.2500382864,17.049812095785924,228.87787647094152,15.09
Viña del Mar,Valparaíso,2024,9,532898,916377.5118102856,12.729152004652756,0.0,15.57
Viña del Mar,Valparaíso,2024,10,530408,898092.0608350944,13.865952683916644,27.099097996791755,15.25
Viña del Mar,Valparaíso,2024,11,532539,932254.0715469236,12.55009457619442,30.983512354264853,16.49
Viña del Mar,Valparaíso,2024,12,532554,877528.0822077761,16.389163047870593,63.27604444797186,15.43
Quilpué,Biobío,2020,1,491797,976213.3607313352,18.034863856773438,0.0,16.89
Quilpué,Biobío,2020,2,490235,966215.652088414,18.76403001278903,53.4753383742343,17.25
Quilpué,Biobío,2020,3,491645,959539.0998929766,20.273943671399024,21.44787167228509,17.39
Quilpué,Biobío,2020,4,488348,975180.1501468456,20.64051120979638,118.2303154613618,17.42
Quilpué,Biobío,2020,5,489499,966796.3451957898,20.87215446197451,39.415439505023,16.33
Quilpué,Biobío,2020,6,490772,1011194.094914578,17.86560361729351,275.594158128997,16.7
Quilpué,Biobío,2020,7,488005,965010.713992785,16.63996073124302,200.9570338920581,16.66
Quilpué,Biobío,2020,8,489129,973961.5063143749,16.192735165416416,181.10706826739525,16.99
Quilpué,Biobío,2020,9,492121,936672.6736221196,14.48326078432221,8.37721003869212,16.05
Quilpué,Biobío,2020,10,489072,975533.139775024,14.4740466001461,89.84138149906968,15.37
Quilpué,Biobío,2020,11,488007,968294.809141264,13.474345046927052,37.88937684079745,15.08
Quilpué,Biobío,2020,12,490821,949935.5682817892,16.461284277535235,0.0,13.83
Quilpué,Biobío,2021,1,487433,940850.1966391944,17.378810529496594,42.976737260396526,16.88
Quilpué,Biobío,2021,2,488391,936153.1202033514,20.85188189193387,6.201648806543741,16.73
Quilpué,Biobío,2021,3,491975,950580.9767315338,19.384639500370422,0.0,16.26
Quilpué,Biobío,2021,4,487669,980590.1158474144,19.61457173188551,52.88770101094848,16.22
Quilpué,Biobío,2021,5,488423,923507.9676336816,20.375522584318084,24.109171764797576,17.24
Quilpué,Biobío,2021,6,491963,1036754.3242398684,20.01263740964407,213.63593399617497,20.37
Quilpué,Biobío,2021,7,490957,890195.9318270776,16.848974046152946,203.89106197813996,14.13
Quilpué,Biobío,2021,8,490874,986711.8082828296,12.726049790763454,327.2203682148854,14.88
Quilpué,Biobío,2021,9,487759,925684.5617908672,14.032771975369844,80.69254227324447,12.58
Quilpué,Biobío,2021,10,491049,977142.4599519004,14.219710749890194,69.18457599027217,15.28
Quilpué,Biobío,2021,11,490039,973065.0837241316,12.738959124405222,147.7088820569238,19.2
Quilpué,Biobío,2021,12,487533,952678.4681593382,15.149419473509194,23.01605356746046,17.0
Quilpué,Biobío,2022,1,489526,958865.5598592628,15.935141595270048,0.4258952696125142,15.98
Quilpué,Biobío,2022,2,490338,986998.065860687,18.414072326682245,37.92205416835845,16.35
Quilpué,Biobío,2022,3,488236,960651.9128447984,21.334037267585774,60.60455916080321,17.67
Quilpué,Biobío,2022,4,489436,941974.1512943568,20.90509343072907,18.6757584595504,17.36
Quilpué,Biobío,2022,5,487510,935351.6406934968,20.786183925904737,17.197768064341705,18.32
Quilpué,Biobío,2022,6,489839,945289.2620902576,18.75977213372755,260.36273652354976,17.43
Quilpué,Biobío,2022,7,491323,942542.2782590764,15.578846859854378,212.5779762024864,17.23
Quilpué,Biobío,2022,8,491086,948333.547836048,15.11559799706372,189.9970148108076,14.16
Quilpué,Biobío,2022,9,490601,978677.2865001349,12.876891626629911,0.0,15.27
Quilpué,Biobío,2022,10,489477,986308.4684272254,13.6126291196872,70.93962896089283,15.97
Quilpué,Biobío,2022,11,488823,931082.1520577294,14.661591200879162,0.0,17.13
Quilpué,Biobío,2022,12,487809,970331.1450098197,15.18106274277108,86.58793326432931,15.53
Quilpué,Biobío,2023,1,491001,947626.670569804,16.206063325895165,0.0,15.96
Quilpué,Biobío,2023,2,489817,934371.9592169604,18.360769438719867,0.0,14.81
Quilpué,Biobío,2023,3,489799,996727.6053761236,20.1255216343988,82.82103941454147,18.31
Quilpué,Biobío,2023,4,487446,972051.3896055424,21.03471374875256,0.0,18.56
Quilpué,Biobío,2023,5,490486,950160.9312471056,20.62750708916016,0.0,16.34
Quilpué,Biobío,2023,6,491598,945735.0076596348,18.617182810387032,219.19929371784545,15.06
Quilpué,Biobío,2023,7,488123,956476.1639817532,17.03372539176213,304.222113947503,17.88
Quilpué,Biobío,2023,8,489778,985606.6621155608,16.314779825596503,208.43520899450465,14.36
Quilpué,Biobío,2023,9,488521,950613.8943233792,14.717789477822208,55.08295527648919,15.21
Quilpué,Biobío,2023,10,490486,963117.123569928,11.59809193228376,98.0130920910854,13.78
Quilpué,Biobío,2023,11,491469,980149.2389639196,12.921575240765952,12.843714588360744,13.88
Quilpué,Biobío,2023,12,491221,975714.8579719252,15.755119243972556,132.9193094789451,17.44
Quilpué,Biobío,2024,1,489812,947478.451993316,18.410213804814408,18.96629475741149,17.8
Quilpué,Biobío,2024,2,490506,934693.9899555136,20.112870140768496,29.200622032251744,18.84
Quilpué,Biobío,2024,3,492141,944378.265702203,19.740111283395144,12.964052102733609,16.03
Quilpué,Biobío,2024,4,491530,967499.9271131374,19.93870646828852,18.365281549974263,16.93
Quilpué,Biobío,2024,5,492108,931470.2953657836,22.339673075172094,77.74372001880695,18.57
Quilpué,Biobío,2024,6,491113,964902.8082862564,18.575406420519805,215.45325735213376,17.48
Quilpué,Biobío,2024,7,488052,988826.2492618772,16.75375787805128,253.56681637286675,15.5
Quilpué,Biobío,2024,8,490594,997466.57376861,15.000710121565964,227.97991644612168,18.3
Quilpué,Biobío,2024,9,492142,974274.5419220072,13.295570147429231,0.0,14.65
Quilpué,Biobío,2024,10,490520,983388.4164110706,11.906085769787763,79.43703605366251,15.92
Quilpué,Biobío,2024,11,491590,993510.4069588932,14.23421920061845,27.179274429114088,16.53
Quilpué,Biobío,2024,12,491101,968342.1006875496,16.122090230322268,0.0,16.94
Quillota,Valparaíso,2020,1,234839,739593.5205700434,18.393454527524437,53.24160050933811,16.22
Quillota,Valparaíso,2020,2,236915,715001.5508171667,18.875572676893583,0.6121874783115118,18.29
Quillota,Valparaíso,2020,3,235044,781420.916924546,22.72292873704594,0.0,16.64
Quillota,Valparaíso,2020,4,233987,754096.7947148993,19.584732808075813,29.98716327221039,15.0
Quillota,Valparaíso,2020,5,235224,669737.4393652346,19.619984997971628,10.894421244668056,16.64
Quillota,Valparaíso,2020,6,237348,730354.1959343321,18.115841520056232,122.11581015166333,16.78
Quillota,Valparaíso,2020,7,235646,722293.5119920959,16.6535734939931,165.57658515390756,14.69
Quillota,Valparaíso,2020,8,234986,733397.8332876889,15.752682315286055,185.2433369846043,16.54
Quillota,Valparaíso,2020,9,233764,751047.5991853515,14.2074295565913,98.4989657057394,15.76
Quillota,Valparaíso,2020,10,237114,714575.643689568,11.139552000075692,81.15108858914198,14.17
Quillota,Valparaíso,2020,11,236809,738338.827968153,13.18645905764529,9.537872876814504,16.17
Quillota,Valparaíso,2020,12,234502,695041.7865548927,15.242347278364722,0.0,15.35
Quillota,Valparaíso,2021,1,234221,748525.1027154019,18.374798914563165,0.0,15.11
Quillota,Valparaíso,2021,2,238187,718058.9058756466,18.663102012037736,34.23625296921334,14.76
Quillota,Valparaíso,2021,3,236627,739120.7438298626,21.145287265261867,36.644909044089,16.63
Quillota,Valparaíso,2021,4,234050,737191.0009130607,21.588652679382434,11.87695176694568,16.71
Quillota,Valparaíso,2021,5,237527,743362.4710408802,20.53499226795982,0.0,17.0
Quillota,Valparaíso,2021,6,237996,718930.1170963503,21.01527511046064,268.57995310552,14.58
